bits_per_url,hash_count,fp_empirical,fp_theoretical,memory_bytes,time_s
5,3,0.01603197,0.05343478,625000,0.78613144
5,5,0.01132293,0.04890179,625000,0.80101524
5,7,0.01223101,0.06028409,625000,0.83405897
5,9,0.01579339,0.08248515,625000,0.83749060
8,3,0.00469655,0.01723350,1000000,0.77715195
8,5,0.00183490,0.00939096,1000000,0.79554823
8,7,0.00127157,0.00817245,1000000,0.81946707
8,9,0.00130529,0.00909809,1000000,0.90034235
10,3,0.00271051,0.00966342,1250000,0.77821672
10,5,0.00078068,0.00389387,1250000,0.87441028
10,7,0.00043593,0.00266929,1250000,0.86505441
10,9,0.00034350,0.00247735,1250000,0.96166880
14,3,0.00103674,0.00390668,1750000,0.81189472
14,5,0.00014115,0.00095048,1750000,0.82379665
14,7,0.00007120,0.00042490,1750000,0.91844936
14,9,0.00003373,0.00027595,1750000,0.92475985
20,3,0.00039221,0.00144735,2500000,0.84144358
20,5,0.00004372,0.00019633,2500000,0.84189849
20,7,0.00001124,0.00005204,2500000,0.91237292
20,9,0.00000125,0.00002121,2500000,0.90626568
